X,Y,T,M
4,0,0,4
4,0,0.01,3.9998
4,0,0.02,3.9992
4,0,0.03,3.9982
4,0,0.04,3.9968
4,0,0.05,3.995
4,0,0.06,3.9928
4,0,0.07,3.9902
4,0,0.08,3.98721
4,0,0.09,3.98381
4,0,0.1,3.98002
4,0,0.11,3.97582
4,0,0.12,3.97123
4,0,0.13,3.96625
4,0,0.14,3.96086
4,0,0.15,3.95508
4,0,0.16,3.94891
4,0,0.17,3.94234
4,0,0.18,3.93537
4,0,0.19,3.92802
4,0,0.2,3.92027
4,0,0.21,3.91212
4,0,0.22,3.90359
4,0,0.23,3.89467
4,0,0.24,3.88535
4,0,0.25,3.87565
9.6639,2.57081,0.26,10
9.63771,2.66731,0.27,10
9.61055,2.76356,0.28,10
9.58244,2.85952,0.29,10
9.55336,2.9552,0.3,10
9.52334,3.05059,0.31,10
9.49235,3.14567,0.32,10
9.46042,3.24043,0.33,10
9.42755,3.33487,0.34,10
9.39373,3.42898,0.35,10
9.35897,3.52274,0.36,10
9.32327,3.61615,0.37,10
9.28665,3.7092,0.38,10
9.24909,3.80188,0.39,10
9.21061,3.89418,0.4,10
9.17121,3.98609,0.41,10
9.13089,4.0776,0.42,10
9.08966,4.16871,0.43,10
9.04752,4.25939,0.44,10
9.00447,4.34966,0.45,10
8.96052,4.43948,0.46,10
8.91568,4.52886,0.47,10
8.86995,4.61779,0.48,10
8.82333,4.70626,0.49,10
8.77583,4.79426,0.5,10
8.72745,4.88177,0.51,10
8.67819,4.9688,0.52,10
8.62807,5.05533,0.53,10
8.57709,5.14136,0.54,10
8.52525,5.22687,0.55,10
8.47255,5.31186,0.56,10
8.41901,5.39632,0.57,10
8.36463,5.48024,0.58,10
8.30941,5.56361,0.59,10
8.25336,5.64642,0.6,10
8.19648,5.72867,0.61,10
8.13878,5.81035,0.62,10
8.08028,5.89145,0.63,10
8.02096,5.97195,0.64,10
7.96084,6.05186,0.65,10
7.89992,6.13117,0.66,10
7.83822,6.20986,0.67,10
7.77573,6.28793,0.68,10
7.71246,6.36537,0.69,10
7.64842,6.44218,0.7,10
7.58362,6.51834,0.71,10
7.51806,6.59385,0.72,10
7.45174,6.6687,0.73,10
7.38469,6.74288,0.74,10
7.31689,6.81639,0.75,10
7.24836,6.88921,0.76,10
7.17911,6.96135,0.77,10
7.10914,7.03279,0.78,10
7.03845,7.10353,0.79,10
6.96707,7.17356,0.8,10
6.89498,7.24287,0.81,10
6.82221,7.31146,0.82,10
6.74876,7.37931,0.83,10
6.67463,7.44643,0.84,10
6.59983,7.5128,0.85,10
6.52437,7.57843,0.86,10
6.44827,7.64329,0.87,10
6.37151,7.70739,0.88,10
6.29412,7.77072,0.89,10
6.2161,7.83327,0.9,10
6.13746,7.89504,0.91,10
6.0582,7.95602,0.92,10
5.97834,8.0162,0.93,10
5.89788,8.07558,0.94,10
5.81683,8.13416,0.95,10
5.7352,8.19192,0.96,10
5.653,8.24886,0.97,10
5.57023,8.30497,0.98,10
5.4869,8.36026,0.99,10
5.40302,8.41471,1,10
5.31861,8.46832,1.01,10
5.23366,8.52108,1.02,10
5.14819,8.57299,1.03,10
5.0622,8.62404,1.04,10
4.97571,8.67423,1.05,10
4.88872,8.72355,1.06,10
4.80124,8.77201,1.07,10
4.71328,8.81958,1.08,10
4.62485,8.86627,1.09,10
4.53596,8.91207,1.1,10
4.44662,8.95699,1.11,10
4.35682,9.001,1.12,10
4.2666,9.04412,1.13,10
4.17595,9.08633,1.14,10
4.08487,9.12764,1.15,10
3.9934,9.16803,1.16,10
3.90152,9.20751,1.17,10
3.80925,9.24606,1.18,10
3.7166,9.28369,1.19,10
3.62358,9.32039,1.2,10
3.53019,9.35616,1.21,10
3.43646,9.39099,1.22,10
3.34238,9.42489,1.23,10
3.24796,9.45784,1.24,10
3.15322,9.48985,1.25,10
3.05817,9.5209,1.26,10
2.96281,9.55101,1.27,10
2.86715,9.58016,1.28,10
2.77121,9.60835,1.29,10
2.67499,9.63558,1.3,10
2.5785,9.66185,1.31,10
2.48175,9.68715,1.32,10
2.38476,9.71148,1.33,10
2.28753,9.73485,1.34,10
2.19007,9.75723,1.35,10
2.09239,9.77865,1.36,10
1.9945,9.79908,1.37,10
1.89641,9.81854,1.38,10
1.79813,9.83701,1.39,10
1.69967,9.8545,1.4,10
1.60104,9.871,1.41,10
1.50225,9.88652,1.42,10
1.40332,9.90105,1.43,10
1.30424,9.91458,1.44,10
1.20503,9.92713,1.45,10
1.1057,9.93868,1.46,10
1.00626,9.94924,1.47,10
0.906716,9.95881,1.48,10
0.807084,9.96738,1.49,10
0.707372,9.97495,1.5,10
0.607589,9.98152,1.51,10
0.507745,9.9871,1.52,10
0.40785,9.99168,1.53,10
0.307915,9.99526,1.54,10
0.207948,9.99784,1.55,10
0.107961,9.99942,1.56,10
0.00796327,10,1.57,10
-0.0920354,9.99958,1.58,10
-0.192025,9.99816,1.59,10
-0.291995,9.99574,1.6,10
-0.391936,9.99232,1.61,10
-0.491838,9.9879,1.62,10
-0.591691,9.98248,1.63,10
-0.691484,9.97606,1.64,10
-0.791209,9.96865,1.65,10
-0.890854,9.96024,1.66,10
-0.99041,9.95083,1.67,10
-1.08987,9.94043,1.68,10
-1.18922,9.92904,1.69,10
-1.28844,9.91665,1.7,10
-1.38755,9.90327,1.71,10
-1.48651,9.8889,1.72,10
-1.58532,9.87354,1.73,10
-1.68397,9.85719,1.74,10
-1.78246,9.83986,1.75,10
-1.88077,9.82154,1.76,10
