X,Y,T,M
2,1,0,2.00269
2,1,0.01,2.01254
2,1,0.02,2.02218
2,1,0.03,2.03162
2,1,0.04,2.04086
2,1,0.05,2.0499
2,1,0.06,2.05873
2,1,0.07,2.06735
2,1,0.08,2.07577
2,1,0.09,2.08398
2,1,0.1,2.09198
2,1,0.11,2.09977
2,1,0.12,2.10735
2,1,0.13,2.11473
2,1,0.14,2.12189
2,1,0.15,2.12883
2,1,0.16,2.13557
2,1,0.17,2.14209
2,1,0.18,2.1484
2,1,0.19,2.15449
2,1,0.2,2.16037
2,1,0.21,2.16603
2,1,0.22,2.17147
2,1,0.23,2.1767
2,1,0.24,2.18171
2,1,0.25,2.1865
2,1,0.26,2.19107
2,1,0.27,2.19543
2,1,0.28,2.19956
2,1,0.29,2.20347
2,1,0.3,2.20717
2,1,0.31,2.21064
2,1,0.32,2.21389
2,1,0.33,2.21692
2,1,0.34,2.21973
2,1,0.35,2.22232
2,1,0.36,2.22468
2,1,0.37,2.22683
2,1,0.38,2.22875
2,1,0.39,2.23044
2,1,0.4,2.23192
2,1,0.41,2.23317
2,1,0.42,2.23419
2,1,0.43,2.235
2,1,0.44,2.23558
2,1,0.45,2.23593
2,1,0.46,2.23607
2,1,0.47,2.23598
2,1,0.48,2.23566
2,1,0.49,2.23512
2,1,0.5,2.23436
2,1,0.51,2.23338
2,1,0.52,2.23217
2,1,0.53,2.23074
2,1,0.54,2.22909
2,1,0.55,2.22721
2,1,0.56,2.22511
2,1,0.57,2.22279
2,1,0.58,2.22024
2,1,0.59,2.21747
2,1,0.6,2.21449
2,1,0.61,2.21128
2,1,0.62,2.20784
2,1,0.63,2.20419
2,1,0.64,2.20032
2,1,0.65,2.19623
2,1,0.66,2.19192
2,1,0.67,2.18739
2,1,0.68,2.18264
2,1,0.69,2.17767
2,1,0.7,2.17248
2,1,0.71,2.16708
2,1,0.72,2.16146
2,1,0.73,2.15562
2,1,0.74,2.14957
2,1,0.75,2.1433
2,1,0.76,2.13682
2,1,0.77,2.13013
2,1,0.78,2.12322
2,1,0.79,2.1161
2,1,0.8,2.10877
2,1,0.81,2.10123
2,1,0.82,2.09348
2,1,0.83,2.08551
2,1,0.84,2.07734
2,1,0.85,2.06897
2,1,0.86,2.06038
2,1,0.87,2.05159
2,1,0.88,2.04259
2,1,0.89,2.03339
2,1,0.9,2.02399
2,1,0.91,2.01438
2,1,0.92,2.00458
5.97834,8.0162,0.93,10
5.89788,8.07558,0.94,10
5.81683,8.13416,0.95,10
5.7352,8.19192,0.96,10
5.653,8.24886,0.97,10
5.57023,8.30497,0.98,10
5.4869,8.36026,0.99,10
5.40302,8.41471,1,10
5.31861,8.46832,1.01,10
5.23366,8.52108,1.02,10
5.14819,8.57299,1.03,10
5.0622,8.62404,1.04,10
4.97571,8.67423,1.05,10
4.88872,8.72355,1.06,10
4.80124,8.77201,1.07,10
4.71328,8.81958,1.08,10
4.62485,8.86627,1.09,10
4.53596,8.91207,1.1,10
4.44662,8.95699,1.11,10
4.35682,9.001,1.12,10
4.2666,9.04412,1.13,10
4.17595,9.08633,1.14,10
4.08487,9.12764,1.15,10
3.9934,9.16803,1.16,10
3.90152,9.20751,1.17,10
3.80925,9.24606,1.18,10
3.7166,9.28369,1.19,10
3.62358,9.32039,1.2,10
3.53019,9.35616,1.21,10
3.43646,9.39099,1.22,10
3.34238,9.42489,1.23,10
3.24796,9.45784,1.24,10
3.15322,9.48985,1.25,10
3.05817,9.5209,1.26,10
2.96281,9.55101,1.27,10
2.86715,9.58016,1.28,10
2.77121,9.60835,1.29,10
2.67499,9.63558,1.3,10
2.5785,9.66185,1.31,10
2.48175,9.68715,1.32,10
2.38476,9.71148,1.33,10
2.28753,9.73485,1.34,10
2.19007,9.75723,1.35,10
2.09239,9.77865,1.36,10
1.9945,9.79908,1.37,10
1.89641,9.81854,1.38,10
1.79813,9.83701,1.39,10
1.69967,9.8545,1.4,10
1.60104,9.871,1.41,10
1.50225,9.88652,1.42,10
1.40332,9.90105,1.43,10
1.30424,9.91458,1.44,10
1.20503,9.92713,1.45,10
1.1057,9.93868,1.46,10
1.00626,9.94924,1.47,10
0.906716,9.95881,1.48,10
0.807084,9.96738,1.49,10
0.707372,9.97495,1.5,10
0.607589,9.98152,1.51,10
0.507745,9.9871,1.52,10
0.40785,9.99168,1.53,10
0.307915,9.99526,1.54,10
0.207948,9.99784,1.55,10
0.107961,9.99942,1.56,10
0.00796327,10,1.57,10
-0.0920354,9.99958,1.58,10
-0.192025,9.99816,1.59,10
-0.291995,9.99574,1.6,10
-0.391936,9.99232,1.61,10
-0.491838,9.9879,1.62,10
-0.591691,9.98248,1.63,10
-0.691484,9.97606,1.64,10
-0.791209,9.96865,1.65,10
-0.890854,9.96024,1.66,10
-0.99041,9.95083,1.67,10
-1.08987,9.94043,1.68,10
-1.18922,9.92904,1.69,10
-1.28844,9.91665,1.7,10
-1.38755,9.90327,1.71,10
-1.48651,9.8889,1.72,10
-1.58532,9.87354,1.73,10
-1.68397,9.85719,1.74,10
-1.78246,9.83986,1.75,10
-1.88077,9.82154,1.76,10
-1.97889,9.80224,1.77,10
-2.07681,9.78197,1.78,10
-2.17452,9.76071,1.79,10
-2.27202,9.73848,1.8,10
-2.36929,9.71527,1.81,10
-2.46632,9.69109,1.82,10
-2.56311,9.66594,1.83,10
-2.65964,9.63983,1.84,10
-2.7559,9.61275,1.85,10
-2.85189,9.58471,1.86,10
-2.94759,9.55572,1.87,10
-3.043,9.52576,1.88,10
-3.13811,9.49486,1.89,10
-3.2329,9.463,1.9,10
-3.32736,9.4302,1.91,10
-3.4215,9.39645,1.92,10
-3.51529,9.36177,1.93,10
-3.60873,9.32615,1.94,10
-3.70181,9.2896,1.95,10
-3.79452,9.25212,1.96,10
-3.88685,9.21371,1.97,10
-3.97879,9.17438,1.98,10
-4.07033,9.13413,1.99,10
-4.16147,9.09297,2,10
-4.25219,9.05091,2.01,10
-4.34248,9.00793,2.02,10
-4.43234,8.96406,2.03,10
-4.52176,8.91929,2.04,10
-4.61073,8.87362,2.05,10
-4.69923,8.82707,2.06,10
-4.78727,8.77964,2.07,10
-4.87482,8.73133,2.08,10
-4.96189,8.68215,2.09,10
-5.04846,8.63209,2.1,10
-5.13453,8.58118,2.11,10
-5.22008,8.5294,2.12,10
-5.30511,8.47678,2.13,10
-5.38961,8.4233,2.14,10
-5.47358,8.36899,2.15,10
-5.55699,8.31383,2.16,10
-6,7,2.17,9.1664
-6,7,2.18,9.17582
-6,7,2.19,9.18433
-6,7,2.2,9.19192
-6,7,2.21,9.1986
-6,7,2.22,9.20435
-6,7,2.23,9.20918
-6,7,2.24,9.21309
-6,7,2.25,9.21608
-6,7,2.26,9.21814
-6,7,2.27,9.21929
-6,7,2.28,9.21951
-6,7,2.29,9.21882
-6,7,2.3,9.2172
-6,7,2.31,9.21465
-6,7,2.32,9.21119
-6,7,2.33,9.20681
-6,7,2.34,9.2015
-6,7,2.35,9.19527
-6,7,2.36,9.18813
-6,7,2.37,9.18007
-6,7,2.38,9.17108
-7.30602,6.82803,2.39,10
-7.37394,6.75463,2.4,10
-7.44111,6.68056,2.41,10
-7.50755,6.60581,2.42,10
-7.57323,6.53041,2.43,10
-7.63815,6.45435,2.44,10
-7.70231,6.37765,2.45,10
-7.7657,6.30031,2.46,10
-7.82832,6.22234,2.47,10
-7.89015,6.14374,2.48,10
-7.95119,6.06454,2.49,10
-8.01144,5.98472,2.5,10
-8.07088,5.90431,2.51,10
-8.12952,5.82331,2.52,10
-8.18735,5.74172,2.53,10
-8.24435,5.65956,2.54,10
-8.30054,5.57684,2.55,10
-8.35589,5.49355,2.56,10
-8.4104,5.40972,2.57,10
-8.46408,5.32535,2.58,10
-8.51691,5.24044,2.59,10
-8.56889,5.15501,2.6,10
-8.62001,5.06907,2.61,10
-8.67027,4.98262,2.62,10
-8.71966,4.89567,2.63,10
-8.76818,4.80823,2.64,10
-8.81582,4.72031,2.65,10
-8.86258,4.63191,2.66,10
-8.90846,4.54306,2.67,10
-8.95344,4.45375,2.68,10
-8.99753,4.36399,2.69,10
-9.04072,4.2738,2.7,10
-9.08301,4.18318,2.71,10
-9.12438,4.09214,2.72,10
-9.16485,4.00069,2.73,10
-9.2044,3.90885,2.74,10
-9.24302,3.81661,2.75,10
-9.28073,3.72399,2.76,10
-9.3175,3.631,2.77,10
-9.35335,3.53764,2.78,10
-9.38825,3.44393,2.79,10
-9.42222,3.34988,2.8,10
-9.45525,3.25549,2.81,10
-9.48733,3.16078,2.82,10
-9.51847,3.06575,2.83,10
-9.54865,2.97041,2.84,10
-9.57787,2.87478,2.85,10
-9.60614,2.77886,2.86,10
-9.63345,2.68266,2.87,10
-9.65979,2.58619,2.88,10
-9.68517,2.48947,2.89,10
-9.70958,2.39249,2.9,10
-9.73302,2.29528,2.91,10
-9.75549,2.19784,2.92,10
-9.77698,2.10017,2.93,10
-9.79749,2.0023,2.94,10
-9.81702,1.90423,2.95,10
-9.83557,1.80596,2.96,10
-9.85314,1.70752,2.97,10
-9.86972,1.6089,2.98,10
-9.88532,1.51013,2.99,10
-9.89992,1.4112,3,10
-9.91354,1.31213,3.01,10
-9.92617,1.21293,3.02,10
-9.9378,1.11361,3.03,10
-9.94844,1.01418,3.04,10
-9.95808,0.914646,3.05,10
-9.96673,0.815022,3.06,10
-9.97438,0.715315,3.07,10
-9.98104,0.615537,3.08,10
-9.98669,0.515698,3.09,10
-9.99135,0.415807,3.1,10
-9.99501,0.315874,3.11,10
-9.99767,0.21591,3.12,10
-9.99933,0.115924,3.13,10
-9.99999,0.0159265,3.14,10
-9.99965,-0.0840725,3.15,10
-9.99831,-0.184063,3.16,10
-9.99597,-0.284035,3.17,10
-9.99263,-0.383979,3.18,10
-9.98829,-0.483884,3.19,10
-9.98295,-0.583741,3.2,10
-9.97661,-0.68354,3.21,10
-9.96928,-0.78327,3.22,10
-9.96095,-0.882922,3.23,10
-9.95162,-0.982486,3.24,10
-9.9413,-1.08195,3.25,10
-9.92998,-1.18131,3.26,10
-9.91767,-1.28055,3.27,10
-9.90437,-1.37966,3.28,10
-9.89008,-1.47863,3.29,10
-9.8748,-1.57746,3.3,10
-9.85853,-1.67612,3.31,10
-9.84128,-1.77462,3.32,10
-9.82304,-1.87295,3.33,10
-9.80382,-1.97108,3.34,10
-9.78362,-2.06902,3.35,10
-9.76244,-2.16675,3.36,10
-9.74028,-2.26427,3.37,10
-9.71715,-2.36155,3.38,10
-9.69305,-2.45861,3.39,10
-9.66798,-2.55541,3.4,10
-9.64194,-2.65196,3.41,10
-9.61494,-2.74825,3.42,10
-9.58698,-2.84426,3.43,10
-9.55806,-2.93998,3.44,10
-9.52818,-3.03542,3.45,10
-9.49735,-3.13054,3.46,10
-9.46557,-3.22536,3.47,10
-9.43285,-3.31985,3.48,10
-9.39918,-3.41401,3.49,10
-9.36457,-3.50783,3.5,10
-9.32902,-3.6013,3.51,10
-9.29254,-3.69441,3.52,10
-9.25513,-3.78715,3.53,10
-9.2168,-3.87951,3.54,10
-9.17755,-3.97148,3.55,10
-9.13737,-4.06306,3.56,10
-9.09629,-4.15423,3.57,10
-9.05429,-4.24498,3.58,10
-9.01139,-4.33531,3.59,10
-8.96758,-4.4252,3.6,10
-8.92288,-4.51466,3.61,10
-8.87729,-4.60366,3.62,10
-8.83081,-4.6922,3.63,10
-8.78345,-4.78027,3.64,10
-8.73521,-4.86787,3.65,10
-8.68609,-4.95497,3.66,10
-8.63611,-5.04159,3.67,10
-8.58526,-5.12769,3.68,10
-8.53356,-5.21329,3.69,10
-8.481,-5.29836,3.7,10
-8.42759,-5.38291,3.71,10
-8.37334,-5.46691,3.72,10
-8.31826,-5.55037,3.73,10
-8.26234,-5.63327,3.74,10
-8.20559,-5.71561,3.75,10
-8.14803,-5.79738,3.76,10
-8.08965,-5.87857,3.77,10
-8.03046,-5.95917,3.78,10
-7.97047,-6.03918,3.79,10
-7.90968,-6.11858,3.8,10
-7.8481,-6.19737,3.81,10
-7.78573,-6.27554,3.82,10
-7.72259,-6.35308,3.83,10
-7.65867,-6.42999,3.84,10
-7.59399,-6.50625,3.85,10
-7.52855,-6.58186,3.86,10
-7.46236,-6.65682,3.87,10
-7.39542,-6.73111,3.88,10
-5,-6,3.89,7.7467
-5,-6,3.9,7.75626
-5,-6,3.91,7.76504
-5,-6,3.92,7.77304
-5,-6,3.93,7.78027
-5,-6,3.94,7.78672
-5,-6,3.95,7.79238
-5,-6,3.96,7.79727
-5,-6,3.97,7.80138
-5,-6,3.98,7.80471
-5,-6,3.99,7.80726
-5,-6,4,7.80903
-5,-6,4.01,7.81002
-5,-6,4.02,7.81023
-5,-6,4.03,7.80965
-5,-6,4.04,7.8083
-5,-6,4.05,7.80616
-5,-6,4.06,7.80325
-5,-6,4.07,7.79955
-5,-6,4.08,7.79507
-5,-6,4.09,7.78982
-5,-6,4.1,7.78378
-5,-6,4.11,7.77697
-5,-6,4.12,7.76938
-5,-6,4.13,7.76101
-5,-6,4.14,7.75187
-5.33209,-8.45984,4.15,10
-5.24722,-8.51273,4.16,10
-5.16184,-8.56478,4.17,10
-5.07593,-8.61597,4.18,10
-4.98952,-8.6663,4.19,10
-4.90261,-8.71576,4.2,10
-4.81521,-8.76435,4.21,10
-4.72732,-8.81206,4.22,10
-4.63897,-8.85889,4.23,10
-4.55015,-8.90484,4.24,10
-4.46087,-8.94989,4.25,10
-4.37115,-8.99405,4.26,10
-4.281,-9.03732,4.27,10
-4.19041,-9.07967,4.28,10
-4.09941,-9.12112,4.29,10
-4.00799,-9.16166,4.3,10
-3.91618,-9.20128,4.31,10
-3.82397,-9.23998,4.32,10
-3.73138,-9.27776,4.33,10
-3.63842,-9.31461,4.34,10
-3.54509,-9.35053,4.35,10
-3.45141,-9.38551,4.36,10
-3.35738,-9.41955,4.37,10
-3.26302,-9.45266,4.38,10
-3.16833,-9.48481,4.39,10
-3.07333,-9.51602,4.4,10
-2.97802,-9.54628,4.41,10
-2.88241,-9.57558,4.42,10
-2.78651,-9.60392,4.43,10
-2.69033,-9.63131,4.44,10
-2.59389,-9.65773,4.45,10
0,-4,4.46,3.87327
0,-4,4.47,3.88307
0,-4,4.48,3.89248
0,-4,4.49,3.90149
0,-4,4.5,3.91012
0,-4,4.51,3.91836
0,-4,4.52,3.9262
0,-4,4.53,3.93365
0,-4,4.54,3.94071
0,-4,4.55,3.94738
0,-4,4.56,3.95365
0,-4,4.57,3.95952
0,-4,4.58,3.965
0,-4,4.59,3.97008
0,-4,4.6,3.97476
0,-4,4.61,3.97905
0,-4,4.62,3.98294
0,-4,4.63,3.98643
0,-4,4.64,3.98952
0,-4,4.65,3.99222
0,-4,4.66,3.99451
0,-4,4.67,3.99641
0,-4,4.68,3.9979
0,-4,4.69,3.999
0,-4,4.7,3.99969
0,-4,4.71,3.99999
0,-4,4.72,3.99988
0,-4,4.73,3.99938
0,-4,4.74,3.99848
0,-4,4.75,3.99717
0,-4,4.76,3.99547
0,-4,4.77,3.99336
0,-4,4.78,3.99086
0,-4,4.79,3.98796
0,-4,4.8,3.98466
0,-4,4.81,3.98096
0,-4,4.82,3.97686
0,-4,4.83,3.97237
0,-4,4.84,3.96748
0,-4,4.85,3.96219
0,-4,4.86,3.9565
0,-4,4.87,3.95042
0,-4,4.88,3.94394
0,-4,4.89,3.93707
0,-4,4.9,3.92981
0,-4,4.91,3.92215
0,-4,4.92,3.9141
0,-4,4.93,3.90566
0,-4,4.94,3.89683
